#,Date Time,température Temp (°C),tension Volt (V)
1,12/05/2021 17:00:00,14.997,1.19257
2,12/05/2021 17:15:00,14.952,1.18448
3,12/05/2021 17:30:00,14.906,1.1772
4,12/05/2021 17:45:00,14.785,1.17971
5,12/05/2021 18:00:00,14.659,1.18143
6,12/05/2021 18:15:00,14.542,1.1878
7,12/05/2021 18:30:00,14.384,1.18311
8,12/05/2021 18:45:00,14.253,1.17884
9,12/05/2021 19:00:00,14.14,1.19078
10,12/05/2021 19:15:00,14.057,1.18521
11,12/05/2021 19:30:00,13.99,1.19512
12,12/05/2021 19:45:00,13.933,1.20665
13,12/05/2021 20:00:00,13.883,1.20027
14,12/05/2021 20:15:00,13.832,1.19665
15,12/05/2021 20:30:00,13.765,1.1923
16,12/05/2021 20:45:00,13.715,1.20207
17,12/05/2021 21:00:00,13.66,1.1931
18,12/05/2021 21:15:00,13.604,1.20504
19,12/05/2021 21:30:00,13.536,1.2055
20,12/05/2021 21:45:00,13.455,1.20718
21,12/05/2021 22:00:00,13.386,1.20893
22,12/05/2021 22:15:00,13.317,1.21126
23,12/05/2021 22:30:00,13.246,1.20325
24,12/05/2021 22:45:00,13.18,1.20577
25,12/05/2021 23:00:00,13.114,1.19886
26,12/05/2021 23:15:00,13.025,1.21077
27,12/05/2021 23:30:00,12.945,1.19978
28,12/05/2021 23:45:00,12.871,1.20146
29,13/05/2021 00:00:00,12.808,1.21302
30,13/05/2021 00:15:00,12.758,1.19562
31,13/05/2021 00:30:00,12.708,1.19409
32,13/05/2021 00:45:00,12.666,1.20005
33,13/05/2021 01:00:00,12.621,1.1857
34,13/05/2021 01:15:00,12.579,1.17906
35,13/05/2021 01:30:00,12.535,1.1915
36,13/05/2021 01:45:00,12.49,1.2118
37,13/05/2021 02:00:00,12.447,1.20119
38,13/05/2021 02:15:00,12.416,1.20943
39,13/05/2021 02:30:00,12.379,1.18315
40,13/05/2021 02:45:00,12.34,1.19276
41,13/05/2021 03:00:00,12.296,1.1994
42,13/05/2021 03:15:00,12.257,1.19276
43,13/05/2021 03:30:00,12.214,1.18879
44,13/05/2021 03:45:00,12.192,1.18711
45,13/05/2021 04:00:00,12.165,1.18822
46,13/05/2021 04:15:00,12.124,1.19829
47,13/05/2021 04:30:00,12.077,1.18982
48,13/05/2021 04:45:00,12.034,1.18921
49,13/05/2021 05:00:00,11.998,1.18883
50,13/05/2021 05:15:00,11.965,1.19516
51,13/05/2021 05:30:00,11.942,1.20493
52,13/05/2021 05:45:00,11.924,1.20966
53,13/05/2021 06:00:00,11.913,1.18589
54,13/05/2021 06:15:00,11.909,1.2121
55,13/05/2021 06:30:00,11.91,1.2005
56,13/05/2021 06:45:00,11.927,1.18563
57,13/05/2021 07:00:00,11.951,1.20085
58,13/05/2021 07:15:00,12.006,1.19432
59,13/05/2021 07:30:00,12.074,1.19108
60,13/05/2021 07:45:00,12.169,1.19524
61,13/05/2021 08:00:00,12.304,1.18696
62,13/05/2021 08:15:00,12.393,1.20508
63,13/05/2021 08:30:00,12.505,1.19135
64,13/05/2021 08:45:00,12.588,1.19051
65,13/05/2021 09:00:00,12.56,1.18231
66,13/05/2021 09:15:00,12.699,1.18952
67,13/05/2021 09:30:00,12.778,1.1762
68,13/05/2021 09:45:00,12.834,1.19036
69,13/05/2021 10:00:00,13.06,1.17948
70,13/05/2021 10:15:00,13.282,1.1812
71,13/05/2021 10:30:00,13.359,1.1772
72,13/05/2021 10:45:00,13.4,1.17048
73,13/05/2021 11:00:00,13.635,1.16922
74,13/05/2021 11:15:00,13.645,1.18215
75,13/05/2021 11:30:00,13.801,1.17102
76,13/05/2021 11:45:00,13.82,1.1804
77,13/05/2021 12:00:00,14.017,1.16625
78,13/05/2021 12:15:00,14.152,1.17082
79,13/05/2021 12:30:00,14.259,1.17945
80,13/05/2021 12:45:00,14.294,1.17037
81,13/05/2021 13:00:00,14.444,1.16194
82,13/05/2021 13:15:00,14.515,1.16381
83,13/05/2021 13:30:00,14.626,1.16247
84,13/05/2021 13:45:00,14.773,1.17235
85,13/05/2021 14:00:00,14.859,1.17674
86,13/05/2021 14:15:00,14.909,1.15682
87,13/05/2021 14:30:00,14.961,1.17464
88,13/05/2021 14:45:00,14.976,1.16846
89,13/05/2021 15:00:00,14.897,1.17594
90,13/05/2021 15:15:00,14.819,1.17273
91,13/05/2021 15:30:00,14.767,1.1527
92,13/05/2021 15:45:00,14.791,1.154
93,13/05/2021 16:00:00,14.871,1.16556
94,13/05/2021 16:15:00,14.824,1.15431
95,13/05/2021 16:30:00,14.722,1.16926
96,13/05/2021 16:45:00,14.608,1.16464
97,13/05/2021 17:00:00,14.536,1.17098
98,13/05/2021 17:15:00,14.466,1.16239
99,13/05/2021 17:30:00,14.435,1.17544
100,13/05/2021 17:45:00,14.405,1.17178
101,13/05/2021 18:00:00,14.322,1.16766
102,13/05/2021 18:15:00,14.24,1.16548
103,13/05/2021 18:30:00,14.168,1.16075
104,13/05/2021 18:45:00,14.102,1.16373
105,13/05/2021 19:00:00,14.05,1.17418
106,13/05/2021 19:15:00,13.978,1.16068
107,13/05/2021 19:30:00,13.897,1.16941
108,13/05/2021 19:45:00,13.82,1.16297
109,13/05/2021 20:00:00,13.742,1.17369
110,13/05/2021 20:15:00,13.679,1.16445
111,13/05/2021 20:30:00,13.607,1.17281
112,13/05/2021 20:45:00,13.547,1.177
113,13/05/2021 21:00:00,13.484,1.163
114,13/05/2021 21:15:00,13.425,1.16773
115,13/05/2021 21:30:00,13.368,1.17212
116,13/05/2021 21:45:00,13.329,1.173
117,13/05/2021 22:00:00,13.299,1.18383
118,13/05/2021 22:15:00,13.27,1.18418
119,13/05/2021 22:30:00,13.243,1.16964
120,13/05/2021 22:45:00,13.203,1.18486
121,13/05/2021 23:00:00,13.159,1.17559
122,13/05/2021 23:15:00,13.126,1.17285
123,13/05/2021 23:30:00,13.105,1.16506
124,13/05/2021 23:45:00,13.079,1.16247
125,14/05/2021 00:00:00,13.057,1.17369
126,14/05/2021 00:15:00,13.031,1.17651
127,14/05/2021 00:30:00,12.999,1.18677
128,14/05/2021 00:45:00,12.969,1.18765
129,14/05/2021 01:00:00,12.939,1.17926
130,14/05/2021 01:15:00,12.885,1.17018
131,14/05/2021 01:30:00,12.849,1.1836
132,14/05/2021 01:45:00,12.821,1.1875
133,14/05/2021 02:00:00,12.796,1.19055
134,14/05/2021 02:15:00,12.779,1.17983
135,14/05/2021 02:30:00,12.764,1.17803
136,14/05/2021 02:45:00,12.748,1.17948
137,14/05/2021 03:00:00,12.723,1.18074
138,14/05/2021 03:15:00,12.693,1.17933
139,14/05/2021 03:30:00,12.659,1.18326
140,14/05/2021 03:45:00,12.631,1.1875
141,14/05/2021 04:00:00,12.603,1.18807
142,14/05/2021 04:15:00,12.573,1.17521
143,14/05/2021 04:30:00,12.559,1.19673
144,14/05/2021 04:45:00,12.544,1.17903
145,14/05/2021 05:00:00,12.526,1.18471
146,14/05/2021 05:15:00,12.505,1.18231
147,14/05/2021 05:30:00,12.496,1.19474
